ID,Job Title,Company,Job Page link,Job Description,Source
2,Catering & Conference Services Manager,"
                CoralTree Hospitality
              ",https://www.linkedin.com/jobs/view/catering-conference-services-manager-at-coraltree-hospitality-2996341652?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=VG8CDn08DIvPexmeX7wW%2BQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
This position will consistently strive to maximize revenue and promote relationships through effective negotiation of services and prices in the Hotel's continuing effort to deliver outstanding guest service and financial profitability. Will target and win over business via outside sales calls, hosting site inspections and planner meetings, cold calling & emailing, networking, attending industry & association events etc.Essential Functions :Responsible for the deployment of departmental actions and catering strategies to meet team and company goals and for the internal and external communications required to deliver excellent guest service and satisfactionDevelop catering sales marketing plan, goals & strategiesProspect, solicit and close new business as well as maintain repeat clients. Handle all major events and VIP clientsWork closely with Group Sales to sell menus which meet the client's needs and maximize revenuesReview & develop departmental structure (i.e. sales, support & service staff)Conduct periodic departmental meetings to review activity & performanceCoach departmental & sales managers to ensure goal & plan achievementPeriodically review & adjust catering menus to ensure product and vision consistencyMeet with clients to work out the details of their functions. Escort clients through the property and highlight features of facility as well as available servicesWork with F&B Director and Banquet Manager to establish policy standards, procedures, operational guidelines & service manual Review & co-ordinate with chef creative menus & new product ideasQualifications :Meet & greet clients on event dates and supervise as neededGeneral knowledge of conference technology and audio visual needsEntertain prospective clients and give tours of event space, outlets and guest roomsKeep updated on current sales trends within the market and the competitive setRepresent the Hotel in trade shows, industry organizations and community eventsAttend all required meetings within the HotelPrevious hotel experience preferredComputer skills (Word, Excel, PPT) and phone skillsOrganized, attention to detail and ability to multi-taskCompany IntroductionOur team members are the true soul of our company. We think differently. About travel, but also about the ways in which we deliver on our promise to engage, delight, awaken and challenge our team members as well as our guests. We are deeply committed to the foundation of core values that molds our interactions with everyone we encounter – our guests, our clients, our team and our communities. We create engaging, impactful environments that connect people and place, awaken the spirit, and allow team members with talent, integrity and heart to thrive. We believe our team members are the true soul of our company. We invite you to join us on this journey.Property IntroductionRetreat to Hyatt Regency Sonoma Wine Country. Our hotel in Santa Rosa offers easy access to hundreds of Sonoma County wineries, spacious rooms with scenic views, and 40,000 square feet of indoor and outdoor event space. Our dining spaces feature field stone and weathered wood to create an elegant, rustic atmosphere that incorporates the soothing, down-to-earth beauty of the surrounding landscape. Enjoy small plates, satisfying entrees, craft drinks, and more from our onsite bar and cafe. All of our dishes are made with fresh, local ingredients for a one-of-a-kind dining experience composed of comforting local flavors. Walk to Historic Railroad Square and charming Downtown Santa Rosa with museums, dining, and shopping nearby
",LinkedIn
3,Physician Office Liaison (Scheduler),"
                Sutter Health
              ",https://www.linkedin.com/jobs/view/physician-office-liaison-scheduler-at-sutter-health-3022974518?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=fgawkDADB1BlS%2F%2FlU6EefA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
Position OverviewPerforms optimum utilization and coordination of surgery schedule time by efficiently planning and organizing the daily schedule including scheduling appointments, clerical tasks, giving information to callers, coordinating physician and anesthesia requests and performing special projects and duties as assigned by nursing management.QualificationsEducation:High School Diploma or equivalentBLS/CPR Certification RequiredExperience/Knowledge/Skills Experience in a clerical role as would typically be obtained on one year. Knowledge of medical terminology and surgical procedures preferred. Excellent professional, organizational, and communication skills. General office skills preferred. Strong interpersonal skills. Knowledge of insurance benefits and pre-authorization desired. Knowledge of office equipment, i.e. copy machines, fax machines. Ability to treat all patient and employee information as confidential. Must be knowledgeable in all phases of scheduling procedures. Ability to use personal computer and word processing softwareOrganization:Sutter Outpatient ServicesEmployee Status: RegularBenefits: YesPosition Status: Non-ExemptUnion: NoJob Shift: DayShift Hours:8 Hour ShiftDays of the Week Scheduled:Monday-FridayWeekend Requirements: NoneSchedule: Full TimeHrs Per 2wk Pay Period:80Applications Accepted:All Applications Accepted
      ",LinkedIn
4,Cashier & Front End Services,"
                Walmart
              ",https://www.linkedin.com/jobs/view/cashier-front-end-services-at-walmart-3024084864?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=Btx4ckPKJfx0ffZDHOAKzg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        You play a major role in how our customers feel when they leave the store. You might be the first, last, and sometimes only associate a customer interacts with. That's why it's so important to smile, greet, and thank every customer. You are an ambassador of Walmart.The pace can be intense, especially in the evenings, weekends, and holiday seasons. There are times when you must juggle several tasks in a short amount of time while helping customers: scan items, explain a price, bag items properly, count cash back, and keep your area clean--you get the idea!It takes a special person who is positive, can multi-task and has a passion for customer service and helping others.Duties And ResponsibilitiesCashierSmile, greet, and thank customers with a positive attitudeStand for long periods of time while checking out customers quickly and accuratelyKeep your area clean and presentableAnswer customer questions and help them with their needsBe available to assist associates across the store as neededCart and JanitorialEnsure customers have a great first and last impressionGather carts from the parking lotOperate equipment to move carts from the parking lot to inside the storeClean restrooms, salesfloor, and parking lot as neededHave a positive attitude in all weather conditions.* For a complete list of duties and responsibilities, please see the actual job description.#storejobsAbout WalmartAt Walmart, we help people save money so they can live better. This mission serves as the foundation for every decision we make, from responsible sourcing to sustainability-and everything in between. As a Walmart associate, you will play an integral role in shaping the future of retail, tech, merchandising, finance and hundreds of other industries-all while affecting the lives of millions of customers all over the world. Here, your work makes an impact every day. What are you waiting for?Walmart, Inc. is an Equal Opportunity Employer- By Choice. We believe we are best equipped to help our associates, customers, and the communities we serve live better when we really know them. That means understanding, respecting, and valuing diversity- unique styles, experiences, identities, abilities, ideas and opinions- while being inclusive of all people.
      ",LinkedIn
5,Administrative Coordinator (Administrative Support Coordinator II) (510224),"
                Sonoma State University
              ",https://www.linkedin.com/jobs/view/administrative-coordinator-administrative-support-coordinator-ii-510224-at-sonoma-state-university-2981176414?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=hehADRPTMhBS2J64lnkgkg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
DescriptionApplication ProcessThis position is open until filled. For full consideration, please submit application, along with cover letter and resume, by 8am on Friday, March 4th.Please review the position description listed above for full scope of responsibilities and qualifications.Job SummaryReporting to and under the direct supervision of the Vice President for Advancement, with additional lead work direction from the Executive Assistants within University Advancement and the Office of the President, the Administrative Coordinator performs a variety of administrative duties in support of the administrative operations of University Advancement and the Office of the President. The incumbent oversees administrative and clerical operations of the executive suite and performs a variety of general office, clerical, reception, and secretarial duties and provides day-to-day administrative support for University Advancement and the Office of the President. The incumbent is responsible for providing coordination support for implementation of high-level University events. The incumbent works independently and in collaboration with the staff and work is supervised in terms of overall accomplishments. The incumbent provides support in administration of and improvements to operational policies and procedures; provides information on a wide variety of complex policies and procedures relating to the office and the University. In addition, the incumbent provides work direction, training and recommendations for hiring of student support staff; and provides and coordinates administrative support as needed. Contacts involve interaction with all levels inside and outside the university. The incumbent demonstrates outstanding customer service to students, staff, faculty, and visitors, while working in a professional, fast-paced environment.Key QualificationsThis position requires a high school degree or technical/vocational program and a minimum of three years administrative work experience involving program administration and/or an equivalent combination of education and experience involving study, analysis, and/or evaluation leading to the development of improvement of administrative policies, procedures, practices, or programs. The incumbent must have a thorough knowledge of standard office systems and the ability to use a broad range of standard office technology to support duties of the position. Fundamental written and oral communication skills, including a sound foundation and working knowledge of English grammar, spelling and punctuation required. Intermediate proficiency with computers and Microsoft Office required. Knowledge of Google Suite is preferred. A working knowledge of spreadsheets, software programs, and database systems is highly preferred.Salary and BenefitsStarting salary placement depends on qualifications and experience and is anticipated to be in the range of $3,792- $4,192 a month. This is a full time, non-exempt position, which will lead toward permanent status following the successful completion of a probationary period.This position is eligible for a broad range of benefits, including medical, dental, vision, life and disability insurances, retirement (CalPERS), tuition waiver, vacation and sick leave. In addition, 14 paid holidays are offered each year; 13 scheduled on specific days and a Personal Holiday that may be taken any time during the year.A comprehensive benefits summary for this position is available online by clicking here to be taken to the CSU benefits page.For eligible employees, CSUEU collective bargaining agreement Article 17.10 will be honored.Supplemental InformationSonoma State University is committed to achieving excellence through teaching, scholarship, learning and inclusion. In line with our Strategic Plan and our Seawolf Commitment, our values include diversity, sustainability, community engagement, respect, responsibility, excellence and integrity. We strive to cultivate a community in which a diverse population can learn and work in an atmosphere of civility and respect. We encourage innovation, experimentation and creativity, as well as contributions to equity and inclusion, in the pursuit of excellence for all members of our university community.The University is an Affirmative Action/Equal Opportunity Employer. We consider qualified applicants for employment without regard to race, religion, color, national origin, ancestry, age, sex, gender, gender identity, gender expression, sexual orientation, genetic information, medical condition, disability, marital status, or protected veteran status. Mandated Reporting: This position may be considered a ""mandated reporter"" under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.The CSU requires faculty, staff, and students who are accessing campus facilities to be immunized against COVID-19 or declare a medical or religious exemption and thereafter comply with routine campus testing requirements. Any candidates advanced in a currently open search process should be prepared to comply with this requirement. To learn more about the vaccination requirement at Sonoma State, please visit: https://covid19.sonoma.edu/ vaccine-requirement- information.A background check (including a criminal records check) must be completed satisfactorily before any candidate can be offered a position. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current employees who apply for this position.Sonoma State University is not a sponsoring agency for staff positions (i.e. H-1B visas).Positions are posted for a minimum of 14 calendar days.For questions related to the application process, please reach out to hr@sonoma.edu. The ADA Coordinator is also available (hraccommodations@sonoma.edu) to assist individuals with disabilities in need of accommodation during the hiring process.Closing Date/Time: Open until filled
      ",LinkedIn
6,Host/Hostess | Hazel Hill Restaurant (Full or Part Time),"
                Montage International
              ",https://www.linkedin.com/jobs/view/host-hostess-hazel-hill-restaurant-full-or-part-time-at-montage-international-3023810278?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=MbwQvrl7G5EVnQ5%2BokmWlw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Live Your Passion. Add Your Magic.At Montage International, we are doing something different, something exciting and it takes passionate people to bring our vision to life. We have built a culture that leads with the important notion we live by every day; do what you love. If this resonates with you, we look forward to receiving your application.We welcome applicants with disabilities and provide reasonable accommodations as needed to our applicants. Please discuss with our hiring managers during our selection processes.Host/HostessSummaryThe Host position will primarily greet and assist Guests in a positive, welcoming and professional manner. The Host will anticipate guests’ needs, and respond appropriately with a sense of urgency. They will also maintain a proactive approach to solving any guest’s questions or problems. Finally, the Host will bid farewell to guests, using their name when known, and encourage them to return to the establishment.Essential FunctionsJob duties include; although are not limited to:Consistently following Food & Beverage sequence of service utilizing all proper procedures standardized by venue managers and chefsAssisting in providing analytical support and decision making tools to leadership team to help exceed desired business resultsWorking as a team and effectively communicating with management, chef and service staff in order to fulfill and address any issues or needs requested by guests and or other AssociatesGreeting and seating guests and controlling the flow of guests coming into the restaurant, bar and lounge while under pressure. Answering telephones and directing calls where necessaryOverseeing daily restaurant reservations, pre-assigning seating where necessary, and communicating with management, service staff and chefs and special guest needs, requests, and VIPSQualificationsPrevious hotel or restaurant experience preferredMust be have strong communication skills and ability to multi-task is requiredMust be able to read and write in English proficientlyAbility to follow directions well, make quick decisions, and keep organized while under pressurePrevious exposure to high volume restaurant environment preferredBasic computer skills and experience with computer based reservations systems preferredMust be able to operate a multi-line telephoneMust have a positive attitude, be self-motivated, polite, energetic and a willing learnerPhysical RequirementsMust be able to bend, stoop, squat and stretch to fulfill tasks. Must be physically able to lift and carry heavy trays and equipment as well as delicate china and glassware. Up to 50 lbs. Also, you must be physically able to walk without assistance on various surfaces for an extended period of time. This position requires manual dexterity, grasping, writing, standing, sitting, walking, repetitive motions, bending, and climbing.In the United States we are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.
",LinkedIn
7,Unit Assistant,"
                Kaiser Permanente
              ",https://www.linkedin.com/jobs/view/unit-assistant-at-kaiser-permanente-3022480577?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=gD15ARgdFAnKLs4xEb66rw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
DescriptionThis position is responsible for supporting and coordinating the administrative activities of the nursing unit. May be assigned to cover multiple units.Essential Responsibilities Processes transfers and discharges using the Admit-Discharge-Transfer (ADT) system in the electronic medical record.  Answers and appropriately routes internal and external telephone calls.  Orders materials and supplies for the unit, and collects equipment and medication from the dumb waiter system.  Answers call system from nurses station; follows up with patient and/or family as appropriate.  Makes follow-up appointments for patients as necessary.  In conjunction with Discharge Coordinator, organizes transfers to skilled nursing facilities, including printing relevant sections of the patient chart.  Prepares discharge packets and other documents for patients (including maternal/baby).  Maintains the units business equipment, including maintaining appropriately charged wireless carts.  Arranges for special maintenance or repair of the units business equipment.  Updates the units white board (this function may be eliminated).  Maintains the Minimum Record.  Assists unit personnel in the use of the electronic medical record and other systems; may act as the unit resource for computer-related issues.  Acts as greeter for the unit, greeting new patients and their families.  Coordinates discharge times, contacts family members with discharge information, and otherwise facilitates a timely discharge when the patient is ready.  Initiates units downtime procedures when necessary.  Communicates with other units/departments.  May support Environmental Services in the data entry into the ADT system the status of clean and dirty beds.  May help to facilitate co-pay collections by communicating with the Admitting office when family members are present on the unit, relaying information to Admitting or to the patient/family, etc.  Assists with other unit duties such as collecting meal trays, taking STAT specimens to the lab, etc.  Performs other related duties as assigned. Pay Grade: 220ExperienceBasic Qualifications: N/A Education High School Diploma/GED. License, Certification, Registration Medical Terminology Certification Additional Requirements Working knowledge of PCs and the ability to navigate in a Windows environment utilizing a mouse.  Basic knowledge of office equipment (fax machine, copy machine, scanner).  Typing 25 wpm.  Ability to read and comprehend complex instructions, correspondence, and medical record documents in English.  Ability to write simple correspondence using email.  Working knowledge of computer applications to include Windows 95/97, 2000 or Windows NT is required.  Must be willing to work in a Labor Management Partnership environment.  Also refer to Position Specifications outlined in the appropriate collective bargaining agreement. Preferred Qualifications N/A
",LinkedIn
8,Transit Planner/Project Manager – Extra Help,"
                County of Sonoma Human Resources
              ",https://www.linkedin.com/jobs/view/transit-planner-project-manager-%E2%80%93-extra-help-at-county-of-sonoma-human-resources-3008642982?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=hnfKvfqjkLI36rfCuFlIbA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Position InformationCompensation$49 - $60/HourlyThe Sonoma County Transportation Authority (SCTA) invites applications for the position of Transit Planner/Project Manager – Extra Help. Please review the job announcement for additional information, including application submission instructions and benefits.
      ",LinkedIn
9,Quality Specialist,"
                Solectrac Electric Tractors
              ",https://www.linkedin.com/jobs/view/quality-specialist-at-solectrac-electric-tractors-3017990346?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=k8LvdMwL2JZLPdQCy6A%2FaQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
POSITION         :  Quality Specialist LOCATION        : Windsor, CAREPORTS TO    : Director of AftersalesDIVISION          : Aftersales Quality Specialist position will be responsible for the detection, analysis, reporting, and monitoring of resolutions of Product Quality and Process Quality issues occurring at Solectrac distribution centers, dealers, and customers. Position will also play instrumental role in the recovery of warranty cost from suppliers. This position is designed to ensure and improve product and process quality, ensure consistency in quality standards between Solectrac distribution centers, and achieving verifiable resolution to problems with suppliers, plants, and supplier design and engineering departments. Analysis and recovery of warranty payments from suppliers will support these efforts.   Our ideal candidate exhibits a can-do attitude and approaches his or her work with vigor and determination. Candidates will be expected to demonstrate excellence in their respective fields, to possess the ability to learn quickly and to strive for perfection within a fast-paced environment.  Responsibilities: ·       Independently conduct quality and warranty data analysis for problem detection and monitoring·       Establish and maintain Early Warning Systems for new products·       Establish field reporting system from Dealers and Field Service Managers, analyze, verify, report on problems reported; bring about resolution and monitor results·       Conduct failed parts analysis and reporting·       Conduct warranty claims analysis, summarize data under consideration of established procedures and agreements, and manage warranty recovery efforts on a timely basis; combine warranty recovery from suppliers with opportunity for product improvements·       Visit Solectrac Assembly plants on a regular basis, manage process quality audits, establish and maintain reporting system on all product and process problems·       Performs other duties as assignedProfessional Experience & Qualifications:Candidates need to have a thorough knowledge of tractor/ equipment. This individual will need to have ability to communicate effectively with plants, dealers, suppliers, and internal team members. Ø Bachelor’s / Associate Degree in Engineering, with technical certificationsØ 5+ years of experience in Quality Management, Quality Monitoring, Reporting; Advance level data analysis skills; Experience with vehicle design, operation, manufacturing, preferably in the Farm Equipment sector.Ø Electrically sound, understands how electrical systems and circuits works and troubleshooting.  Ø Must be able to express him/herself fluently and clearly in spoken and written English.Ø Ability to organize information provided verbally or visually into a structured document or process flow diagram that is easy to understand and follow.Ø High energy with a sense of urgency; be resilient and self-confidentØ Proficient with MS Excel, proficient in MS Word, Outlook, and PowerPoint.Ø Ability to multitask in a fast-paced environmentØ Motivated to identify waste, propose improvements, and support implementation of initiativesØ Strong communication, presentation, and teamwork skills Ø Have a root cause / countermeasure approach to problem resolutionØ Process driven, detailed oriented, results driven and self-motivatedØ Must be able to see, hear, walk, climb or balance and stoop, kneel, crouch, crawl, work at on computers uninterruptedly for longer periods of time, lift to 50 lbs. and hold a valid driver license.    
",LinkedIn
10,Digital Media Strategist,"
                Sonoma Media Investments, LLC
              ",https://www.linkedin.com/jobs/view/digital-media-strategist-at-sonoma-media-investments-llc-3019795066?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=nYaZVaKQuXGORg7u57rQig%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        The Digital Media Strategist is an expert in the digital advertising ecosystem, fully understanding the role of different digital media platforms and how they can be best used to affect an advertiser’s business. Working closely with our advertising sales staff and digital ad operations department, the Digital Media Strategist learns of the client’s KPIs and objectives, and creates a campaign that uses our available solutions to achieve the desired results. During the campaign, the Digital Media Strategist monitors the campaign, optimizes it if necessary, and reports on the efficacy. As well, they will assist in creating sales collateral and presentations for all digital advertising products and perform other duties as needed.Essential job functions include, but are not limited to the followingCreating digital advertising campaigns for our advertisers, which includes the range of: digital display on our owned sites; programmatic digital display; sponsored content; email marketing; social media advertising; paid search; and videoProducing supporting sales presentations and collateral (in PowerPoint and MS Word)Conceptualizing story ideas for Sponsored Content for advertisersCreating subject lines and content ideas for targeted advertiser emailsEditing and writing content for sales fliers, internal promotion, and sales presentations that represent our entire range of digital productsCreating content for social media platforms on behalf of advertisers, as neededRemaining fully informed on current and emerging market trends, and implementing best practicesReporting on digital product results, for internal and external purposes (in Excel, PowerPoint, and in proprietary reporting platforms)QualificationsBachelor’s degree in Advertising, Marketing, Journalism or related field from a four-year college or university desired6 months to two years of related work experience and/or training or equivalent combination of education and experience requiredMS Office experience required. Expert usage of Excel and PowerPoint is required. Content Management Systems (WordPress a big plus), Facebook Ads Manager, Google Ads and Ad Manager/DFP is highly soughtAbility to read, analyze and interpret large amounts of information and data from a variety of sourcesAdequate knowledge of typical content management systems and reporting platformsBasic understanding of general marketing principles requiredKnowledge of advertising copywriting best practicesAbility to communicate effectively both verbally and in writing with internal clients, external clients and employees from the organizationExcellent project management, time management and organization skills a mustSonoma Media Investments (SMI) is an independent, privately-owned multimedia company based in Santa Rosa. Formed in 2012 by a consortium of local investors who recognize the value of quality local journalism, SMI is home to the most-read publications and websites in the affluent Sonoma Valley, north of San Francisco. Each week, seven out of ten North Bay adults - more than 376,000 in total - engage with the many SMI publications and their corresponding websites, including: The Pulitzer Prize-Winning Press Democrat (our flagship daily), The Sonoma Index-Tribune, Petaluma Argus-Courier, The North Bay Business Journal, Sonoma Magazine and La Prensa Sonoma (the region’s premier Spanish-language newspaper and website)Sonoma Media Investments values the contribution of our employees and offers a competitive compensation plan. We also offer an array of benefits, including medical, dental, vision, 401K and Paid Time Off. Any job offer is conditional upon satisfactorily completing a pre-employment background investigation. To be considered, please apply on our career page. COVID-19 Vaccine Requirement: SMI is committed to creating a safe work environment for all employees, independent contractors, vendors and guests. All employees are required to submit proof of a COVID-19 vaccine and be subject to booster shots as recommended by the CDC. Medical reasons for not being vaccinated and religious objections will be carefully reviewed to determine if an accommodation can be made. Sonoma Media Investments is an Equal Opportunity Employer
",LinkedIn
11,Senior Investigator and Training Specialist (Administrator I),"
                Sonoma State University
              ",https://www.linkedin.com/jobs/view/senior-investigator-and-training-specialist-administrator-i-at-sonoma-state-university-3004337148?refId=AzTQ5wRoPPy%2FjRgpHakVvQ%3D%3D&trackingId=%2F7QcnPPTV2CjIg9ZELQ9YQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"
Job no: 512864Work type: Management (MPP)Location: SonomaCategories: MPP, Administrative, At-Will, Full TimeApplication ProcessThis position is open until filled. For full consideration, please submit application, along with cover letter and resume, by 8am on April 18th.Please review the position description listed above for full scope of responsibilities and qualifications.Job SummaryReporting to the Title IX Officer and Senior Director, Office for the Prevention of Harassment and Discrimination (OPHD), the Senior Investigator and Training Specialist is responsible for investigating student complaints of reports to the Title IX Officer/Director. The Title IX Officer/Director has primary responsibility for sexual discrimination, misconduct, harassment, gender-related violence including stalking and intimate partner violence, and all protected class discrimination and harassment involving students (undergraduate and graduate). The incumbent works closely with the Title IX Officer/Director and various departments to conduct investigations of complaints filed by students at Sonoma State University and other area higher education institutions, acting as a neutral party in the investigation and providing a detailed, unbiased report regarding the findings of the investigation to the Title IX Officer/Director. The incumbent also supervises student personnel, interns and training staff and collaborates with other department personnel to provide support in the development, presentation, oversight and tracking of effective OPHD student trainings, including Summer Orientation, Student Athlete, Greek and Incoming Student programs and online trainings. The incumbent may also participate in supporting the student refresher training and helping coordinate events and presentations for Sexual Assault Awareness Month (April) and serving on campus and system wide task forces and committees.Key QualificationsThis position requires a bachelor's degree and four or more years of relevant professional experience required, or equivalent combination of education and experience to provide the required knowledge, skills and abilities to perform the duties of the position. Master’s or other relevant advanced degree preferred. Comprehensive knowledge of Title IX and other government regulations including, Title V and FERPA; demonstrated effective public speaking, oral and written communication skills; experience with computer applications, word processing, databases and presentation programs.Strong skills in the areas of conflict resolution, problem solving techniques, trauma informed interviewing and investigating experience. Strong analytical skills and the ability to assess and negotiate complex, highly sensitive situations. Exceptional critical thinking skills demonstrated by the ability to analyze information, evaluate results, and facilitate resolution of difficult challenges, including the ability to handle issues of complex and extreme sensitivity. Skill in writing concise, logical analytical reports to convey complex issues. Ability to maintain neutrality and work under stress. Strong and effective interpersonal skills; the ability to listen well and demonstrate sensitivity to and respect for individual needs. Ability to work as part of a campus‐wide community to resolve complaints in a neutral and sensitive manner. Ability to establish and maintain professional and productive working relationships with staff at all levels; Ability to read and interpret complex legal documents to evaluate their impact on University policy and procedures. Working knowledge of nondiscrimination laws and compliance regulations including Title IX, due process protections as they apply to Student Conduct proceedings, the Clery Act, VAWA, and FERPA.Salary and BenefitsStarting salary placement depends on qualifications and experience and will not exceed $6,509 a month.This position is eligible for a broad range of benefits, including medical, dental, vision, life and disability insurances, retirement (CalPERS), tuition waiver, vacation and sick leave. In addition, 14 paid holidays are offered each year; 13 scheduled on specific days and a Personal Holiday that may be taken any time during the year.A comprehensive benefits summary for this position is available online by clicking here to be taken to the CSU benefits page.Supplemental InformationSonoma State University is committed to achieving excellence through teaching, scholarship, learning and inclusion. In line with our Strategic Plan and our Seawolf Commitment, our values include diversity, sustainability, community engagement, respect, responsibility, excellence and integrity. We strive to cultivate a community in which a diverse population can learn and work in an atmosphere of civility and respect. We encourage innovation, experimentation and creativity, as well as contributions to equity and inclusion, in the pursuit of excellence for all members of our university community.The University is an Affirmative Action/Equal Opportunity Employer. We consider qualified applicants for employment without regard to race, religion, color, national origin, ancestry, age, sex, gender, gender identity, gender expression, sexual orientation, genetic information, medical condition, disability, marital status, or protected veteran status. Mandated Reporting: This position may be considered a ""mandated reporter"" under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.The CSU requires faculty, staff, and students who are accessing campus facilities to be immunized against COVID-19 or declare a medical or religious exemption and thereafter comply with routine campus testing requirements. Any candidates advanced in a currently open search process should be prepared to comply with this requirement. To learn more about the vaccination requirement at Sonoma State, please visit: https://covid19.sonoma.edu/vaccine-requirement-information.A background check (including a criminal records check) must be completed satisfactorily before any candidate can be offered a position. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current employees who apply for this position.Sonoma State University is not a sponsoring agency for staff positions (i.e. H-1B visas).Positions are posted for a minimum of 14 calendar days.For questions related to the application process, please reach out to hr@sonoma.edu. The ADA Coordinator is also available (hraccommodations@sonoma.edu) to assist individuals with disabilities in need of accommodation during the hiring process.Advertised: March 31, 2022 (9:00 AM) Pacific Daylight TimeApplications close: Open until filled
      ",LinkedIn
